,RUB,BRENT,CNY,EUR,NOK,TRY,UZS,KGS,наблюдений
дневные,0.27951031756455114,-0.0878384382611794,0.0866441212933236,0.13612028228140569,0.19721485612165798,0.07198042618637368,0.019015329135204154,0.04839904898563331,2569.0
недельные,0.3997921276263069,-0.21687743903386464,0.14607721215794758,0.17180601275378463,0.21114571598499196,0.10603394194217229,-0.03328285715630229,0.12568517949758923,577.0
месячные,0.4214886951821288,-0.4592386198229975,0.12109823308735526,0.12243308644898843,0.2665677203657053,0.10318511815595653,0.008857883913851134,0.4990037837399154,133.0
квартальные,0.4044968130026577,-0.5011770946334358,0.3199913835671124,0.279223942981752,0.4388783653394988,0.013237826357760815,0.10296381662681622,0.5409927452507144,44.0
